number,miner,size,timestamp,totalDifficulty,baseFeePerGas,difficulty,gasLimit,gasUsed
13692138,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,125852,1637962298,35278296144660151587927,108389042873,10672515059958339,30000000,29997464
13692137,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,2901,1637962296,35278285472145091629588,123043231276,10667169042370897,30000000,708254
13692136,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,67558,1637962288,35278274804976049258691,118132043184,10661825633869638,30000000,19988846
13692135,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,149026,1637962267,35278264143150415389053,105015740852,10666896640541430,29999858,29987671
13692134,0x829BD824B016326A401d083B33D092293333A830,26698,1637962251,35278253476253774847623,111350603507,10666759201587958,29970591,8165051
13692133,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,40163,1637962250,35278242809494573259665,115659930587,10661415993106602,29999886,10528928
13692132,0x829BD824B016326A401d083B33D092293333A830,150778,1637962237,35278232148078580153063,103147675977,10661278554153130,29970619,29527566
13692131,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,25269,1637962235,35278221486800025999933,111371153403,10655938020463104,29999914,6139364
13692130,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,21341,1637962231,35278210830862005536829,119374217596,10650600093182883,29970647,6948177
13692129,0x829BD824B016326A401d083B33D092293333A830,60227,1637962225,35278200180261912353946,122490140037,10645264771040427,29941409,11924088
13692128,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,21675,1637962222,35278189534997141313519,135041012219,10639932052764317,29970676,3843297
13692127,0x829BD824B016326A401d083B33D092293333A830,85118,1637962196,35278178895065088549202,126784173445,10644992363988573,29941438,22770482
13692126,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,99657,1637962173,35278168250072724560629,119584078288,10650055147274981,29970705,22203434
13692125,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,47559,1637962159,35278157600017577285648,119860271312,10649917708321509,30000000,14723485
13692124,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,41496,1637962152,35278146950099868964139,124405112120,10644582719212172,29999886,10616049
13692123,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,42446,1637962145,35278136305517149751967,110588369209,10639250333806646,29970619,29963243
13692122,0x829BD824B016326A401d083B33D092293333A830,43921,1637962143,35278125666266815945321,117303464619,10633920550834212,29941381,8114653
13692121,0x829BD824B016326A401d083B33D092293333A830,30562,1637962137,35278115032346265111109,123343047352,10628593369024771,29970648,9115185
13692120,0x03e75d7DD38CCE2e20FfEE35EC914C57780A8e29,109250,1637962124,35278104403752896086338,125092815604,10628455930071299,29941410,13295452
13692119,0x829BD824B016326A401d083B33D092293333A830,20634,1637962121,35278093775296966015039,137509327947,10623131415231484,29912200,4152318
13692118,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,70540,1637962109,35278083152165550783555,133286623399,10622993976278012,29941354,18765011
13692117,0x45a36a8e118C37e4c47eF4Ab827A7C9e579E11E2,14706,1637962088,35278072529171574505543,147265758700,10628046012916784,29970621,3605520
13692116,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,126111,1637962034,35278061901125561588759,130915655601,10653919118686667,29999916,29986759
13692115,0x6EBaF477F83E055589C1188bCC6DDCCD8C9B131a,78603,1637962017,35278051247206442902092,127449683869,10653781679733195,29970649,18245510
13692114,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,33964,1637962010,35278040593424763168897,135966350996,10648444804839860,29999944,7483420
13692113,0xbCC817f057950b0df41206C5D7125E6225Cae18e,154207,1637961992,35278029944979958329037,120861404530,10653509274711930,29970677,29967969
13692112,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,70309,1637961962,35278019291470683617107,118915699091,10663785688970342,29999972,16963431
13692111,0x8F03f1a3f10c05E7CCcF75C1Fd10168e06659Be7,40225,1637961940,35278008627684994646765,128615292656,10668857653167830,29970705,5944323
13692110,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,137783,1637961904,35277997958827341478935,114336704856,10684371148513938,30000000,29985831
13692109,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,134386,1637961855,35277987274456192964997,101647922669,10705142190401090,30000000,29979685
13692108,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,54537,1637961842,35277976569314002563907,102946145627,10705004751447618,30000000,13486716
13692107,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,76806,1637961827,35277965864309251116289,102846015604,10704867312494146,30000000,15116831
13692106,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,54647,1637961823,35277955159441938622143,103064900722,10699505505618009,29999858,14745079
13692105,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,30987,1637961813,35277944459936433004134,112142107375,10699368066664537,29970591,5281563
13692104,0x829BD824B016326A401d083B33D092293333A830,83933,1637961804,35277933760568366339597,111534095200,10699230627711065,29941353,15623560
13692103,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,150176,1637961776,35277923061337738628532,99142373596,10704319907462408,29970620,29969320
13692102,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,534,1637961775,35277912357017831166124,113305569823,10698958367743437,29999915,0
13692101,0xB7e390864a90b7b923C9f9310C6F98aafE43F707,28287,1637961772,35277901658059463422687,122312372266,10693599444686115,29970648,6157445
13692100,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,88747,1637961764,35277890964460018736572,125310012606,10688243137013399,29941410,12105696
13692099,0x829BD824B016326A401d083B33D092293333A830,140784,1637961751,35277880276216881723173,111402781030,10688105698059927,29912200,29892743
13692098,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,7377,1637961735,35277869588111183663246,124963018097,10687968259106455,29912200,1972530
13692097,0xab3B229eB4BcFF881275E7EA2F0FD24eeaC8C83a,47005,1637961731,35277858900142924556791,132581489982,10682614699694148,29941353,8088649
13692096,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,143530,1637961693,35277848217528224862643,117857499682,10698148376526601,29970620,29962282
13692095,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,102232,1637961670,35277837519379848336042,118414701352,10703237127576828,29941382,14407133
13692094,0x829BD824B016326A401d083B33D092293333A830,137558,1637961634,35277826816142720759214,105264593802,10718801057359720,29970649,29961575
13692093,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,74236,1637961618,35277816097341663399494,101812432366,10718663618406248,29999944,19068813
13692092,0x829BD824B016326A401d083B33D092293333A830,43769,1637961607,35277805378678044993246,107455079859,10718526179452776,29970677,8690095
13692091,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,127136,1637961594,35277794660151865540470,95524932802,10718388740499304,29999972,29986820
13692090,0x829BD824B016326A401d083B33D092293333A830,15879,1637961591,35277783941763125041166,105544757305,10713020334585586,29970705,3604353
13692089,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,74330,1637961580,35277773228742790455580,104460845458,10712882895632114,30000000,16245150
